1745935200,USD,First line left BLANK
1757507400,USD,Core PPI m/m; PPI m/m
1757592900,EUR,Main Refinancing Rate; Monetary Policy Statement
1757593800,USD,Core CPI m/m; CPI m/m; CPI y/y
1757594700,EUR,ECB Press Conference
1757685600,USD,Prelim UoM Consumer Sentiment; Prelim UoM Inflation Expectations
1758025800,USD,Core Retail Sales m/m; Retail Sales m/m
1758132000,USD,Federal Funds Rate; FOMC Economic Projections; FOMC Statement
1758133800,USD,FOMC Press Conference
1758198600,USD,Unemployment Claims
